step,emergency_braking,stopping_distance,Radar_distance,speed,steer
0,0,4.920244016527265e-18,4.801476,8.216188161596232e-09,-0.002877816743821152
1,0,3.6303091595591736e-19,4.5068064,-2.231767050324739e-09,0.0005599495634379374
2,0,1.3198729053113844e-18,4.8167744,-4.2554266837618286e-09,-0.00031996335907862636
3,0,9.14493632897263e-17,5.0075746,3.542153673028663e-08,0.001523330575500126
4,0,7.777727292067186e-17,4.684007,3.266656064650238e-08,0.0015128485592700257
5,0,7.57770979582731e-17,4.7467437,3.224378675012454e-08,0.0013017871287325767
6,0,5.2345201869004436e-18,4.8220587,-8.474527536345262e-09,0.0008717929964055237
7,0,1.710819177126081e-16,5.2779684,-4.8448363347145e-08,0.0007461160452736196
8,0,2.5582215202597283e-18,5.1930394,-5.924423960011933e-09,0.0011117493050201955
9,0,2.4084776276278392e-18,5.145363,-5.748418308635338e-09,0.0007081083192407754
10,0,7.562866521816249e-17,4.9603534,3.2212191586310755e-08,0.0006525887945335189
11,0,7.119791858123282e-17,5.1627264,3.125436678185169e-08,0.0011562649205929766
12,0,1.1380315636986146e-17,5.2780204,-1.2495516417477509e-08,-2.653890681080339e-05
13,0,5.3282913610708167e-17,5.0423613,2.703778050689287e-08,2.4272139654589123e-06
